company_name,daily_close,company_type
VERITAS,129,XT
PODARPIGQ,280,B
BAJAJHCARE,364,B
APMIN,59,X
UTTAMSUGAR,243,B
ABANSENT,129,X
WENDT,7942,B
JUNIORBEES,457,B
AURUM,117,T
KLRFM,127,XT
BOMBWIR,33,X
PREMEXPLQ,438,B
NXTDIGITAL,400,B
JBMA,408,B
ONWARDTEC,263,B
MEDICO,214,T
BPLPHARMA,376,XT
MERCURYLAB,582,X
GOCLCORP,278,B
DYNPRO,381,B
MATRIMONY,600,A
AKM,57,M
DEVIT,216,B
RUDRA,94,T
YUG,59,M
GICHSGFIN,139,B
INFRABEES,549,B
ASL,222,B
UNISTRMU,35,X
SANGHIIND,57,T
UCALFUEL,129,B
HINDTIN,98,X
INDSWFTLAB,58,B
AXTEL,242,X
NAGPI,71,XT
SHARDA,778,B
CONART,39,X
GMPL,714,M
KESAR,218,M
SYMPHONY,838,A
KBSINDIA,77,XT
APOLLOFI,547,X
DALMIASUG,316,A
AIRTELPP,442,A
MARATHON,193,B
SHREDIGCEM,65,B
BBOX,141,B
WINDMACHIN,45,B
PFIZER,4309,A
SCANSTL,33,X
SANDHAR,228,B
SUMEDHA,100,XT
KILPEST,328,X
HARDWYN,324,B
SHAILY,1617,B
JTEKTINDIA,105,B
ANJANIFOODS,25,XT
DFM,371,B
SHREYANIND,153,B
NSIL,2433,B
EXXARO,122,B
ITL,180,X
ALICON,882,B
DVL,251,B
DIAMONDYD,925,B
MAGNAELQ,377,XT
SERA,221,XT
ADORWELD,820,B
SAHYADRI,375,X
ARMANFIN,1564,B
PGEL,997,B
ITHL,225,X
MPSLTD,865,B
SJS,471,B
KNRCON,228,A
FMGOETZE,311,B
COCHINM,280,X
FLUIDOM,160,X
FOODSIN,104,B
BANCOINDIA,193,B
INDOCO,346,A
KSOLVES,438,B
KINETICENG,125,XT
EXPLEOSOL,1291,B
AVADHSUGAR,470,B
JKIL,272,B
PERMAGN,587,X
WABAG,277,A
KIRLOSIND,1804,B
"ALAN SCOTT",47,X
DYNAMATECH,2370,B
JAYSHREETEA,98,B
TCIEXP*,1841,A
RUCHIRA,126,B
MLKFOOD,533,XT
MEDPLUS,582,B
GOACARBON,541,B
JCHAC,1109,A
JINDRILL,316,B
MMFL,754,B
SASKEN,909,A
CHANDRAP,159,X
RAMAPHO,249,B
ADORFO,74,X
NDRAUTO,553,B
PRIVISCL,1185,A
BCCL,44,M
SHARDACROP,390,A
