Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500325,RELIANCE,A,2618.05,2627.75,2590.05,2606.70,403971,10555.36,10322
500209,INFY,A,1560.05,1597.25,1560.05,1593.70,420847,6664.77,7209
532174,ICICIBANK,A,904.80,913.50,898.50,912.10,733600,6596.81,8158
533278,COALINDIA,A,233.70,238.65,230.55,232.10,2792274,6472.23,9201
542649,RVNL,A,55.95,61.70,55.60,60.75,9881120,5785.96,33035
532921,ADANIPORTS,A,896.00,915.50,895.05,906.75,609319,5525.83,11845
543335,APTUS,A,323.30,326.00,312.65,316.80,1536963,4993.34,1924
500010,HDFC,A,2662.35,2680.45,2639.25,2676.70,175519,4671.57,2664
500696,HINDUNILVR,A,2451.05,2467.00,2444.05,2456.80,185061,4546.36,4778
532500,MARUTI,A,9173.00,9200.00,9129.85,9159.00,48249,4419.87,7554
532540,TCS,A,3325.00,3341.15,3291.80,3332.65,132868,4418.81,3978
500034,BAJFINANCE,A,7030.00,7058.65,6982.00,7024.45,50505,3545.17,2490
543320,ZOMATO,A,69.10,71.20,69.10,69.95,4807333,3369.82,17755
500425,AMBUJACEM,A,583.00,593.00,575.30,586.70,572430,3360.19,9393
500570,TATAMOTORS,A,435.00,438.50,434.25,437.05,764416,3341.21,9831
532555,NTPC,A,172.00,174.15,171.40,171.95,1920125,3308.15,4703
540005,LTI,A,5205.00,5360.65,5095.20,5133.60,61781,3218.86,7699
543396,PAYTM,A,634.95,639.90,624.50,626.10,493750,3142.26,7069
522113,TIMKEN,A,2903.40,2986.80,2901.20,2938.35,103837,3083.28,839
500470,TATASTEEL,A,108.80,109.35,107.25,108.50,2855557,3081.66,14157
532822,IDEA,A,8.53,8.55,8.41,8.44,35592715,3011.32,52502
532215,AXISBANK,A,850.00,859.80,847.30,858.40,353478,3011.25,7078
500875,ITC,A,347.40,348.75,339.25,345.15,869069,2974.41,8362
542830,IRCTC,A,746.00,747.70,731.50,740.45,400420,2963.00,14023
533655,TRITURBINE,A,277.95,284.50,275.60,281.60,1032737,2891.48,1305
532454,BHARTIARTL,A,820.20,838.00,820.20,835.10,343331,2836.05,3225
