Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532822,IDEA,A,7.98,8.08,7.86,7.90,117924606,9342.79,59492
532540,TCS,A,3285.00,3299.05,3246.75,3259.25,182089,5987.38,17368
532667,SUZLON,A,10.23,10.96,10.16,10.61,51033190,5435.25,14605
532648,YESBANK,A,20.45,20.85,20.30,20.60,25533794,5257.07,22237
500470,TATASTEEL,A,112.55,114.70,112.10,112.65,4484636,5090.40,27546
500300,GRASIM,A,1759.95,1770.95,1719.90,1725.95,281767,4879.75,1295
532461,PNB,A,55.95,57.30,55.85,56.45,6520537,3686.95,9010
500209,INFY*,A,1525.15,1530.00,1504.00,1508.70,241378,3672.42,12625
532388,IOB,A,32.55,33.15,31.80,32.10,10634434,3460.62,11040
500112,SBIN,A,615.70,620.50,611.50,613.20,544009,3350.31,12878
532134,BANKBARODA,A,186.65,188.40,184.10,185.65,1553339,2889.70,13396
500570,TATAMOTORS,A,391.00,392.10,387.05,388.10,717322,2796.40,20306
540065,RBLBANK,A,178.20,185.25,177.75,179.45,1452176,2632.89,8386
532500,MARUTI,A,8494.95,8527.05,8366.20,8402.65,30724,2587.05,4599
532477,UNIONBANK,A,79.70,81.50,79.50,80.40,3103204,2498.18,10233
508869,APOLLOHOSP,A,4535.10,4578.00,4471.35,4478.65,54944,2474.23,1436
532483,CANBK,A,322.70,336.65,321.55,333.55,728941,2405.02,10787
524051,POLYPLEX,A,1575.05,1618.00,1575.05,1592.15,135009,2166.79,776
500034,BAJFINANCE,A,6565.00,6719.65,6520.00,6574.15,30672,2036.55,4996
500325,RELIANCE,A,2547.00,2576.90,2542.55,2548.20,77470,1983.68,7964
543320,ZOMATO,A,61.00,61.45,59.05,59.35,3264366,1956.43,13842
500400,TATAPOWER,A,207.80,209.95,207.05,207.70,917803,1912.98,14884
532978,BAJAJFINSV,A,1525.05,1572.00,1525.05,1548.45,122771,1905.17,8754
500820,ASIANPAINT,A,3123.05,3135.25,3072.30,3091.80,61078,1893.22,5385
524230,RCF,A,132.70,141.40,132.55,134.55,1347036,1850.06,9757
535789,IBULHSGFIN,A,158.40,158.60,153.35,154.60,1182690,1844.68,8928
500312,ONGC,A,145.05,148.75,144.55,146.80,1232764,1818.27,7600
